block,method,num_agents,obs_radius,seed,isr,csr,makespan
main,A* Only,16,5,90098,1.0,1.0,213
main,A* Only,16,5,90099,1.0,1.0,151
main,A* Only,24,5,90000,0.9166666666666666,0.0,
main,A* Only,24,5,90001,0.9166666666666666,0.0,
main,A* Only,24,5,90002,0.9166666666666666,0.0,
main,A* Only,24,5,90003,1.0,1.0,116
main,A* Only,24,5,90004,0.9166666666666666,0.0,
main,A* Only,24,5,90005,1.0,1.0,99
main,A* Only,24,5,90006,1.0,1.0,214
main,A* Only,24,5,90007,1.0,1.0,59
main,A* Only,24,5,90008,0.9166666666666666,0.0,
main,A* Only,24,5,90009,1.0,1.0,116
main,A* Only,24,5,90010,1.0,1.0,231
main,A* Only,24,5,90011,1.0,1.0,113
main,A* Only,24,5,90012,1.0,1.0,161
main,A* Only,24,5,90013,1.0,1.0,101
main,A* Only,24,5,90014,0.9166666666666666,0.0,
main,A* Only,24,5,90015,0.9166666666666666,0.0,
main,A* Only,24,5,90016,0.9166666666666666,0.0,
main,A* Only,24,5,90017,0.9166666666666666,0.0,
main,A* Only,24,5,90018,1.0,1.0,108
main,A* Only,24,5,90019,1.0,1.0,137
main,A* Only,24,5,90020,1.0,1.0,74
main,A* Only,24,5,90021,0.875,0.0,
main,A* Only,24,5,90022,1.0,1.0,98
main,A* Only,24,5,90023,1.0,1.0,69
main,A* Only,24,5,90024,1.0,1.0,103
main,A* Only,24,5,90025,1.0,1.0,121
main,A* Only,24,5,90026,1.0,1.0,118
main,A* Only,24,5,90027,0.7916666666666666,0.0,
main,A* Only,24,5,90028,1.0,1.0,113
main,A* Only,24,5,90029,0.9166666666666666,0.0,
main,A* Only,24,5,90030,0.8333333333333334,0.0,
main,A* Only,24,5,90031,1.0,1.0,73
main,A* Only,24,5,90032,1.0,1.0,94
main,A* Only,24,5,90033,0.8333333333333334,0.0,
main,A* Only,24,5,90034,0.9166666666666666,0.0,
main,A* Only,24,5,90035,0.7916666666666666,0.0,
main,A* Only,24,5,90036,1.0,1.0,136
main,A* Only,24,5,90037,0.8333333333333334,0.0,
main,A* Only,24,5,90038,1.0,1.0,73
main,A* Only,24,5,90039,1.0,1.0,108
main,A* Only,24,5,90040,1.0,1.0,145
main,A* Only,24,5,90041,0.9166666666666666,0.0,
main,A* Only,24,5,90042,1.0,1.0,67
main,A* Only,24,5,90043,0.9166666666666666,0.0,
main,A* Only,24,5,90044,1.0,1.0,176
main,A* Only,24,5,90045,1.0,1.0,135
main,A* Only,24,5,90046,0.9166666666666666,0.0,
main,A* Only,24,5,90047,1.0,1.0,122
